t, target_theta, target_alpha, theta, alpha, control_output, feedforward, plant_input, saturation
0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, -2.76116541819415411e-02, -8.59029241215960582e-02, -1.72860111402866181e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
2.00000000000000004e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -3.06796157577128234e-02, -8.59029241215960582e-02, -1.62779448896294738e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
4.00000000000000008e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -4.29514620607979528e-02, -8.28349625458244532e-02, -1.56914663475899587e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
6.00000000000000012e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -5.82912699396543610e-02, -7.97670009700532923e-02, -1.54358151064534219e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
8.00000000000000017e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.05631162427394903e-02, -7.66990393942821314e-02, -1.49113907263445213e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.00000000000000002e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.36310778185107762e-02, -7.36310778185109704e-02, -1.35719862758945631e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.20000000000000002e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.66990393942820620e-02, -7.05631162427393654e-02, -1.23451419816672079e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.40000000000000003e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.66990393942820620e-02, -6.74951546669682045e-02, -1.09355835812389000e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.60000000000000003e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.97670009700533478e-02, -6.44271930911970436e-02, -9.92944667860282415e+00, 0.00000000000000000e+00, -9.92944667860282415e+00, 0.00000000000000000e+00
1.80000000000000021e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.28349625458246197e-02, -6.13592315154254386e-02, -9.00557288238809051e+00, 0.00000000000000000e+00, -9.00557288238809051e+00, 0.00000000000000000e+00
2.00000000000000004e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.59029241215959055e-02, -5.82912699396542777e-02, -8.15648372837473090e+00, 0.00000000000000000e+00, -8.15648372837473090e+00, 0.00000000000000000e+00
2.19999999999999987e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.89708856973671913e-02, -5.21553467881119559e-02, -6.84964356087812476e+00, 0.00000000000000000e+00, -6.84964356087812476e+00, 0.00000000000000000e+00
2.40000000000000005e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.20388472731384633e-02, -4.90873852123403509e-02, -6.16837851616987987e+00, 0.00000000000000000e+00, -6.16837851616987987e+00, 0.00000000000000000e+00
2.60000000000000023e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.51068088489097491e-02, -4.60194236365691900e-02, -5.53984277261696434e+00, 0.00000000000000000e+00, -5.53984277261696434e+00, 0.00000000000000000e+00
2.80000000000000006e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.81747704246810349e-02, -4.29514620607980291e-02, -4.95924275738699905e+00, 0.00000000000000000e+00, -4.95924275738699905e+00, 0.00000000000000000e+00
2.99999999999999989e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.01242732000452321e-01, -3.68155389092552632e-02, -3.89648362514794888e+00, 0.00000000000000000e+00, -3.89648362514794888e+00, 0.00000000000000000e+00
3.20000000000000007e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.04310693576223606e-01, -3.37475773334841023e-02, -3.43711043067399480e+00, 0.00000000000000000e+00, -3.43711043067399480e+00, 0.00000000000000000e+00
3.40000000000000024e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.07378655151994878e-01, -3.06796157577129414e-02, -3.01029455097035825e+00, 0.00000000000000000e+00, -3.01029455097035825e+00, 0.00000000000000000e+00
3.60000000000000042e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.07378655151994878e-01, -2.76116541819413364e-02, -2.32803470919982214e+00, 0.00000000000000000e+00, -2.32803470919982214e+00, 0.00000000000000000e+00
3.79999999999999991e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.10446616727766164e-01, -2.45436926061701755e-02, -1.98307831443452365e+00, 0.00000000000000000e+00, -1.98307831443452365e+00, 0.00000000000000000e+00
4.00000000000000008e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.10446616727766164e-01, -2.45436926061701755e-02, -1.90097323809242980e+00, 0.00000000000000000e+00, -1.90097323809242980e+00, 0.00000000000000000e+00
4.20000000000000026e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.13514578303537450e-01, -2.14757310303990145e-02, -1.58563672870049244e+00, 0.00000000000000000e+00, -1.58563672870049244e+00, 0.00000000000000000e+00
4.39999999999999974e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.13514578303537450e-01, -1.84077694546278536e-02, -1.00472176903157484e+00, 0.00000000000000000e+00, -1.00472176903157484e+00, 0.00000000000000000e+00
4.59999999999999992e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.13514578303537450e-01, -1.84077694546278536e-02, -9.92592616166799946e-01, 0.00000000000000000e+00, -9.92592616166799946e-01, 0.00000000000000000e+00
