t, target_theta, target_alpha, theta, alpha, control_output, feedforward, plant_input, saturation
0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, -2.45436926061702587e-02, -8.59029241215960582e-02, -1.70009696193376882e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
2.00000000000000004e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -3.06796157577128234e-02, -8.28349625458244532e-02, -1.57775628921265554e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
4.00000000000000008e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -3.06796157577128234e-02, -7.97670009700532923e-02, -1.40866458428687427e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
6.00000000000000012e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -3.37475773334841023e-02, -7.66990393942821314e-02, -1.28247283503876695e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
8.00000000000000017e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -3.68155389092553881e-02, -7.05631162427393654e-02, -1.11425896933748767e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.00000000000000002e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -3.68155389092553881e-02, -6.74951546669682045e-02, -9.83510268270313937e+00, 0.00000000000000000e+00, -9.83510268270313937e+00, 0.00000000000000000e+00
1.20000000000000002e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -3.98835004850266739e-02, -6.13592315154254386e-02, -8.39602090072490270e+00, 0.00000000000000000e+00, -8.39602090072490270e+00, 0.00000000000000000e+00
1.40000000000000003e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -3.98835004850266739e-02, -5.82912699396542777e-02, -7.30949468553911963e+00, 0.00000000000000000e+00, -7.30949468553911963e+00, 0.00000000000000000e+00
1.60000000000000003e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -4.29514620607979528e-02, -5.52233083638831168e-02, -6.59702340585079661e+00, 0.00000000000000000e+00, -6.59702340585079661e+00, 0.00000000000000000e+00
1.80000000000000021e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -4.29514620607979528e-02, -4.90873852123403509e-02, -5.12933978497339549e+00, 0.00000000000000000e+00, -5.12933978497339549e+00, 0.00000000000000000e+00
2.00000000000000004e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -4.29514620607979528e-02, -4.60194236365691900e-02, -4.30129560781443931e+00, 0.00000000000000000e+00, -4.30129560781443931e+00, 0.00000000000000000e+00
2.19999999999999987e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -4.29514620607979528e-02, -4.60194236365691900e-02, -4.06450352995871889e+00, 0.00000000000000000e+00, -4.06450352995871889e+00, 0.00000000000000000e+00
2.40000000000000005e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -4.29514620607979528e-02, -4.29514620607980291e-02, -3.32350095278727897e+00, 0.00000000000000000e+00, -3.32350095278727897e+00, 0.00000000000000000e+00
2.60000000000000023e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -4.29514620607979528e-02, -3.98835004850268682e-02, -2.64010055034487978e+00, 0.00000000000000000e+00, -2.64010055034487978e+00, 0.00000000000000000e+00
2.80000000000000006e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -4.29514620607979528e-02, -3.98835004850268682e-02, -2.53480281314057621e+00, 0.00000000000000000e+00, -2.53480281314057621e+00, 0.00000000000000000e+00
