t, target_theta, target_alpha, theta, alpha, control_output, feedforward, plant_input, saturation
0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.59029241215959055e-02, -8.59029241215960582e-02, -2.27018000383163248e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
2.00000000000000004e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.89708856973671913e-02, -8.59029241215960582e-02, -2.12119877551000506e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
4.00000000000000008e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.89708856973671913e-02, -8.28349625458244532e-02, -1.90473921905746906e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
6.00000000000000012e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.20388472731384633e-02, -8.28349625458244532e-02, -1.78805949178803409e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
8.00000000000000017e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.51068088489097491e-02, -7.97670009700532923e-02, -1.62946908838693787e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.00000000000000002e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.51068088489097491e-02, -7.66990393942821314e-02, -1.45587145381831657e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.20000000000000002e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.81747704246810349e-02, -7.36310778185109704e-02, -1.32558340489489961e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.40000000000000003e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.81747704246810349e-02, -7.36310778185109704e-02, -1.23028888867261088e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.60000000000000003e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -9.81747704246810349e-02, -7.05631162427393654e-02, -1.09108380510389864e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.80000000000000021e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.01242732000452321e-01, -6.74951546669682045e-02, -9.92061711634952204e+00, 0.00000000000000000e+00, -9.92061711634952204e+00, 0.00000000000000000e+00
2.00000000000000004e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -1.04310693576223606e-01, -6.74951546669682045e-02, -9.53694943375256798e+00, 0.00000000000000000e+00, -9.53694943375256798e+00, 0.00000000000000000e+00
